,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
100,"If the World Was Ending - feat. Julia Michaels","JP Saxe",34598,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
101,"Lose Control",MEDUZA,34340,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
102,"Adore You","Harry Styles",33817,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
103,"3 Nights","Dominic Fike",33544,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
104,"Blauwe Dag","Suzan & Freek",33303,https://open.spotify.com/track/0N1sqwppd1BwhNdjcIDEG2
105,"Die Young",Sheppard,33194,https://open.spotify.com/track/0XSTOKFdWPXlAEliq17XRw
106,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,33070,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
107,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",32938,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
108,"We Komen Terug",Outsiders,32929,https://open.spotify.com/track/7fzc0VslkvObn5VfBw6cr7
109,Feestje,Fmg,32883,https://open.spotify.com/track/2ueVHF9lPkLB1SkkybBbjQ
110,"Het Spijt Me Niet","Selma Omari",32871,https://open.spotify.com/track/2XyB0yXTSQPw6rj9CpRomA
111,"Follow Your Dreams (with Jonna Fraser)",Emms,32657,https://open.spotify.com/track/253Amof9X18Z8PS9IbV2nQ
112,"Oeh Jij","Yxng Le",32650,https://open.spotify.com/track/0npxPWBoOOTuVZqhoEJVJk
113,"BELIEVE IT",PARTYNEXTDOOR,32611,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
114,"Waar Ga Je Heen","Emma Heesters",32266,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
115,"bad guy","Billie Eilish",31629,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
116,"Ze Kent Mij",Snelle,30962,https://open.spotify.com/track/3BiBIgQFa8K4EOxisyhXX7
117,"Give Me",Chivv,30876,https://open.spotify.com/track/4mFWKcImzYFoKRr7dNjFVY
118,Uncharted,Kensington,30796,https://open.spotify.com/track/1OJcaSbK9DBaxHExACplwA
119,"On The Low","Burna Boy",30625,https://open.spotify.com/track/1PoJXULCvl03b1fiZmMxmd
120,"Higher Love",Kygo,30615,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
121,Vandaan,"Lil Kleine",30497,https://open.spotify.com/track/7ua5ORSWsf8JOrcX6SJ9Ub
122,"Zoutelande (feat. Geike)",BLØF,30223,https://open.spotify.com/track/7MOX3ibncypw3xGb4HZVFA
