,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,Memories,Boef,26325,https://open.spotify.com/track/7muicvRPVglfHRtBHpSFqH
160,Africa,TOTO,26305,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
161,"Oeh Jij","Yxng Le",26052,https://open.spotify.com/track/0npxPWBoOOTuVZqhoEJVJk
162,Papa,"Yade Lauren",25926,https://open.spotify.com/track/2EB1mPFpCBEI2TF2sNqIPC
163,POSITIE,Caza,25908,https://open.spotify.com/track/5dVXY5359o7XBmfoNCBMxg
164,"Deze Is Voor Mij","Suzan & Freek",25731,https://open.spotify.com/track/3eDGSll7NmfGQ8C5hen4gf
165,"After Party","Don Toliver",25686,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
166,"lovely (with Khalid)","Billie Eilish",25590,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
167,"Zoutelande (feat. Geike)",BLØF,25576,https://open.spotify.com/track/7MOX3ibncypw3xGb4HZVFA
168,Sterrenstof,"De Jeugd Van Tegenwoordig",25500,https://open.spotify.com/track/7D5vAulNfrQV6xEwzgH0OF
169,"Tommy Lee (feat. Post Malone)","Tyla Yaweh",25293,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV
170,"Zo Kan Het Dus Ook",Maan,24986,https://open.spotify.com/track/6u6UHWtW3XYWXJn3EdpzmZ
171,"Don't Rush (feat. Headie One)","Young T & Bugsey",24964,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
172,"Ur So F**kInG cOoL","Tones And I",24879,https://open.spotify.com/track/6KiEsqGg0HBOSMflVH7Onx
173,"Chicago Freestyle (feat. Giveon)",Drake,24637,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
174,"Met Jou","Yade Lauren",24589,https://open.spotify.com/track/6X7uctTsJgW7wzqkFtSthi
175,"Mucho Dinero",Chivv,24577,https://open.spotify.com/track/0GOqusaomQcXWjIzRd4sE1
176,"Be Alright","Dean Lewis",24523,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
177,Savage,"Megan Thee Stallion",24517,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
178,"IDK You Yet","Alexander 23",24504,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
179,Marijuana,Josylvio,24381,https://open.spotify.com/track/6EFqESvZHB2jZVgeJyLYl6
